352,Vrije Universiteit Brussel,Belgium
353,Washington State University,United States of America
354,Aston University,United Kingdom
355,Auburn University,United States of America
356,Clemson University,United States of America
357,Curtin University,Australia
358,Deakin University,Australia
359,Flinders University,Australia
360,Georgia State University,United States of America
361,Griffith University,Australia
362,Harbin Institute of Technology,China
363,Heriot-Watt University,United Kingdom
364,Hiroshima University,Japan
365,Kansas State University,United States of America
366,Kobe University,Japan
367,Kyung Hee University,South Korea
368,La Trobe University,Australia
369,Leibniz University of Hanover,Germany
370,Liverpool John Moores University,United Kingdom
371,Loughborough University,United Kingdom
372,Mahidol University,Thailand
373,Massey University,New Zealand
374,Michigan Technological University,United States of America
375,National Central University,Taiwan
376,National Taiwan Ocean University,Taiwan
377,"National University of Ireland, Galway",Republic of Ireland
378,"National University of Ireland, Maynooth",Republic of Ireland
379,New Jersey Institute of Technology,United States of America
380,New University of Lisbon,Portugal
381,Old Dominion University,United States of America
382,Polytechnic University of Catalonia,Spain
383,Polytechnic University of Turin,Italy
384,Polytechnic University of Valencia,Spain
385,Pontifical Catholic University of Chile,Chile
386,Saint Petersburg State University,Russian Federation
387,Swansea University,United Kingdom
388,Swinburne University of Technology,Australia
389,Tokyo University of Agriculture and Technology,Japan
390,University of Bari Aldo Moro,Italy
391,University of Coimbra,Portugal
392,University of Idaho,United States of America
393,University of Kent,United Kingdom
394,University of Paris North – Paris 13,France
395,University of Salento,Italy
396,University of South Australia,Australia
397,University of Strathclyde,United Kingdom
398,University of Tartu,Estonia
399,University of Turku,Finland
400,University of Wyoming,United States of America
401,University of Zaragoza,Spain
402,Waseda University,Japan
403,Wuhan University,China
404,Yuan Ze University,Taiwan
405,Paris-Sud University,France
406,Joseph Fourier University,France
407,Johannes Gutenberg University of Mainz,Germany
408,"St George’s, University of London",United Kingdom
409,University of Erlangen-Nuremberg,Germany
410,Florida Institute of Technology,United States of America
411,Indian Institute of Technology Kharagpur,India
412,Koç University,Turkey
413,Laval University,Canada
414,Mines ParisTech,France
415,National Research Nuclear University MePhI,Russian Federation
416,University of Connecticut,United States of America
417,University of Oregon,United States of America
418,Bayreuth University,Germany
419,Oregon State University,United States of America
420,University of Montana,United States of America
421,University of Turin,Italy
422,Claude Bernard University Lyon 1,France
423,King Abdulaziz University,Saudi Arabia
424,Medical University of Vienna,Austria
425,Murdoch University,Australia
426,National Cheng Kung University,Taiwan
427,North Carolina State University,United States of America
428,Renmin University of China,China
429,University of Fribourg,Switzerland
430,University of Pavia,Italy
431,University of Portsmouth,United Kingdom
432,University of Vermont,United States of America
433,Indian Institute of Technology Roorkee,India
434,King Mongkut’s University of Technology Thonburi,Thailand
435,National Autonomous University of Mexico,Mexico
436,Paris Dauphine University,France
437,Southern Methodist University,United States of America
438,Temple University,United States of America
439,University of Duisburg-Essen,Germany
440,University of Jyväskylä,Finland
441,University of KwaZulu-Natal,South Africa
